METADATA:
Indicator: Breakdown of LCY Bond Market Issuance
Definition: This indicator shows the gross amount of local currency (LCY) bond issuance in USD. It provides a breakdown of issuance by central governments (mainly treasuries) and other government entities, central banks, and corporates or private institutions.
Available Economies: CN,HK,ID,JP,KR,LA,MY,PH,SG,TH,VN,VN*
Available Years: 1995-2024
Frequency: quarterly updates
Latest Data: Sep-2024

DISCLAIMER: The ADB provides no warranty or undertaking of any kind in respect to the information and materials found on, or linked to, AsianBondsOnline. The ADB accepts no responsibility for the accuracy of the material posted or linked to the publication, or the information contained therein, or for any consequences arising from its use and does not invite or accept reliance being placed on any materials or information so provided. Views expressed in articles marked with AsianBondsOnline are those of the authors, and not ADB. This disclaimer does not derogate from, and is in addition to, the general terms and conditions regarding the use of the AsianBondsOnline Web Site, which also apply.

Economy,Date,"Corporate(LCY billions)","Government(LCY billions)","Total(LCY billions)","Corporate(USD billions)","Government(USD billions)","Total(USD billions)"
CN,1997,0.000000,53.0000,53.000000,0.0000000000,6.40135274,6.4013527387
CN,1998,0.000000,427.3500,427.350000,0.0000000000,51.61917646,51.6191764606
CN,1999,7.250000,244.6000,251.850000,0.8756567426,29.54284679,30.4185035328
CN,2000,5.000000,271.9500,276.950000,0.6040544132,32.85451954,33.4585739483
CN,2001,14.000000,308.3530,322.353000,1.6915362774,37.25644898,38.9479852595
CN,2002,32.500000,446.1400,478.640000,3.9265434336,53.90117192,57.8277153558
CN,2003,35.800000,544.2370,580.037000,4.3253953871,65.75531311,70.0807084949
CN,2004,35.274000,480.8770,516.151000,4.2619464750,58.10149218,62.3634386516
CN,2005,216.606000,519.4680,736.074000,26.8402270080,64.36866496,91.2088919729
CN,2006,420.400000,693.9840,1114.384000,53.8663591518,88.92100711,142.7873662631
CN,2007,537.128000,2200.4920,2737.620000,73.5419034188,301.28455440,374.8264578227
CN,2008,942.263000,735.1090,1677.372000,138.0059170731,107.66568537,245.6716024430
CN,2009,1662.124000,1439.5680,3101.692000,243.4633074557,210.86392266,454.3272301157
CN,2010,1797.655000,1609.0280,3406.683000,272.0833963978,243.53382776,515.6172241562
CN,2011,2247.284000,1413.6020,3660.886000,356.9950754567,224.55949166,581.5545671168
CN,2012,3487.862000,1366.9960,4854.858000,559.7955253106,219.40037878,779.1959040863
CN,2013,3741.451200,1564.8811,5306.332300,617.9824587483,258.47432403,876.4567827825
CN,2014,5749.070600,1637.8446,7386.915200,926.4476029329,263.93434856,1190.3819514946
CN,2015,7542.290600,2043.7837,9586.074300,1161.4781403514,314.73331075,1476.2114510988
CN,2016,8741.969000,3060.9144,11802.883400,1258.7428365731,440.73641469,1699.4792512599
CN,2017,7257.750400,3938.8790,11196.629400,1115.4100940554,605.34809738,1720.7581914305
CN,2018,9933.550200,3587.7315,13521.281700,1444.1448280875,521.58631969,1965.7311477793
CN,2019,13306.221500,4034.4154,17340.636900,1910.9348431756,579.39099839,2490.3258415671
CN,2020,18317.303600,7076.4474,25393.751000,2806.3034072803,1084.14747518,3890.4508824611
CN,2021,19232.033900,6717.7610,25949.794900,3025.7601201995,1056.89982851,4082.6599487107
CN,2022,17693.160100,9700.4500,27393.610100,2564.7464847940,1406.14762416,3970.8941089496
CN,2023,18379.483100,11256.2687,29635.751800,2588.6595915493,1585.38995775,4174.0495492958
HK,1997,99.693000,0.0000,99.693000,12.8661031167,0.00000000,12.8661031167
HK,1998,100.888000,0.0000,100.888000,13.0243606460,0.00000000,13.0243606460
HK,1999,153.555700,0.0000,153.555700,19.7537402714,0.00000000,19.7537402714
HK,2000,180.910100,0.0000,180.910100,23.1944946601,0.00000000,23.1944946601
HK,2001,151.809200,0.0000,151.809200,19.4679593224,0.00000000,19.4679593224
HK,2002,180.323100,0.0000,180.323100,23.1221998538,0.00000000,23.1221998538
HK,2003,170.163300,0.0000,170.163300,21.9175274994,0.00000000,21.9175274994
HK,2004,170.837600,0.0000,170.837600,21.9794663304,0.00000000,21.9794663304
HK,2005,188.236200,0.0000,188.236200,24.2744470952,0.00000000,24.2744470952
HK,2006,233.678800,0.0000,233.678800,30.0439450237,0.00000000,30.0439450237
HK,2007,221.265900,0.0000,221.265900,28.3674230769,0.00000000,28.3674230769
HK,2008,138.484900,0.0000,138.484900,17.8685582308,0.00000000,17.8685582308
