METADATA:
Indicator: Green Bonds Issuance
Definition: This indicator shows the gross amount of green bonds issuance in USD, categorized as government and corporates. FCY-denominated bonds refer to bonds issued in currencies other than the home economy's currency. Green bonds are debt instruments whose proceeds will be used for the financing of environmental or climate-related projects.
Available Economies: KH,CN,HK,ID,JP,KR,LA,MY,PH,SG,TH,VN
Available Years: 2016-2024
Frequency: quarterly/annual updates
Latest Data: Sep-2024

DISCLAIMER: The ADB provides no warranty or undertaking of any kind in respect to the information and materials found on, or linked to, AsianBondsOnline. The ADB accepts no responsibility for the accuracy of the material posted or linked to the publication, or the information contained therein, or for any consequences arising from its use and does not invite or accept reliance being placed on any materials or information so provided. Views expressed in articles marked with AsianBondsOnline are those of the authors, and not ADB. This disclaimer does not derogate from, and is in addition to, the general terms and conditions regarding the use of the AsianBondsOnline Web Site, which also apply.

Economy,Date,"Government FCY(USD millions)","Corporate FCY(USD millions)","Government LCY(USD millions)","Corporate LCY(USD millions)","Total(USD millions)"
CN,2016,0.0000,4238.0232,1585.0546,34215.2440,40038.3217
CN,2017,1677.0000,4993.2100,5027.9902,25371.6986,37069.8989
CN,2018,0.0000,9210.6169,308.0003,27014.3132,36532.9304
CN,2019,0.0000,14030.9877,1823.3931,27002.9416,42857.3226
CN,2020,0.0000,8051.1949,1510.0309,22053.4164,31614.6422
CN,2021,500.0000,25496.3601,9386.4719,46379.9160,81762.7479
CN,2022,0.0000,23573.0728,7821.1628,79467.6705,110861.9059
CN,2023,0.0000,10582.0099,7202.1011,72541.4314,90325.5424
CN,Sep-2024,0.0000,9368.6086,5307.7173,37887.2806,52563.6063
HK,2016,0.0000,1130.9478,0.0000,6.0548,1137.0025
HK,2017,0.0000,642.6890,0.0000,303.9712,946.6602
HK,2018,0.0000,1559.4523,0.0000,457.6387,2017.0910
HK,2019,1000.0000,0.0000,0.0000,728.8969,1728.8969
HK,2020,0.0000,1793.3661,0.0000,565.0855,2358.4516
HK,2021,6245.4450,1190.0488,0.0000,634.6319,8070.1257
HK,2022,1000.0000,617.4025,2548.0304,652.3154,4817.7482
HK,2023,12779.9841,1204.0343,2557.7737,165.8464,16707.6386
HK,Sep-2024,3684.4037,1600.5556,255.7872,448.9367,5989.6832
ID,2016,0.0000,0.0000,0.0000,0.0000,0.0000
ID,2017,0.0000,0.0000,0.0000,50.0097,50.0097
ID,2018,1250.0000,580.0000,0.0000,26.4440,1856.4440
ID,2019,750.0000,0.0000,103.5890,0.0000,853.5890
ID,2020,750.0000,1110.0000,0.0000,0.0000,1860.0000
ID,2021,750.0000,0.0000,0.0000,0.0000,750.0000
ID,2022,1500.0000,0.0000,482.2442,671.1643,2653.4085
ID,2023,1147.2262,400.0000,1025.5205,423.5314,2996.2781
ID,Sep-2024,759.3575,350.0000,389.9240,117.9078,1617.1894
JP,2016,0.0000,500.0000,0.0000,97.7613,597.7613
JP,2017,89.6571,1282.7500,267.4016,197.7968,1837.6054
JP,2018,89.0000,2191.1886,316.6619,1883.2004,4480.0508
JP,2019,94.0000,1452.7000,737.1383,4440.5027,6724.3411
JP,2020,646.8519,988.1500,2126.7071,5149.1428,8910.8518
JP,2021,688.2100,5829.0850,3466.9970,6355.5454,16339.8374
JP,2022,1823.4580,10454.5940,2685.8979,5086.3285,20050.2783
JP,2023,1102.6141,6596.5100,3920.0376,12121.5698,23740.7315
JP,Sep-2024,542.7000,3999.7500,2385.4296,4062.2273,10990.1069
KH,2016,0.0000,0.0000,0.0000,0.0000,0.0000
KH,2017,0.0000,0.0000,0.0000,0.0000,0.0000
KH,2018,0.0000,0.0000,0.0000,0.0000,0.0000
KH,2019,0.0000,0.0000,0.0000,0.0000,0.0000
KH,2020,0.0000,0.0000,0.0000,0.0000,0.0000
KH,2021,0.0000,0.0000,0.0000,0.0000,0.0000
KH,2022,0.0000,0.0000,0.0000,0.0000,0.0000
KH,2023,0.0000,0.0000,0.0000,1.4750,1.4750
KH,Sep-2024,0.0000,0.0000,0.0000,9.9534,9.9534
KR,2016,400.0000,500.0000,0.0000,340.0339,1240.0339
KR,2017,398.7306,300.0000,0.0000,646.6638,1345.3944
KR,2018,700.0000,1100.0000,278.6162,1138.2129,3216.8291
KR,2019,612.5500,3488.7000,0.0000,1792.5513,5893.8013
KR,2020,1058.0300,782.6600,170.4303,1143.3811,3154.5014
KR,2021,4804.6750,9198.6135,1805.6788,9472.8532,25281.8203
KR,2022,3380.1946,5400.3200,902.1224,3838.1087,13520.7457
KR,2023,2259.0916,4119.6700,1191.6504,4263.9472,11834.3592
KR,Sep-2024,466.6900,4211.9500,916.5862,4077.9856,9673.2119
LA,2016,0.0000,0.0000,0.0000,0.0000,0.0000
LA,2017,0.0000,0.0000,0.0000,0.0000,0.0000
LA,2018,0.0000,0.0000,0.0000,0.0000,0.0000
LA,2019,0.0000,0.0000,0.0000,0.0000,0.0000
LA,2020,0.0000,0.0000,0.0000,0.0000,0.0000
LA,2021,0.0000,0.0000,0.0000,0.0000,0.0000
LA,2022,0.0000,228.0816,0.0000,0.0000,228.0816
LA,2023,0.0000,96.5464,0.0000,0.0000,96.5464
LA,Sep-2024,0.0000,0.0000,0.0000,0.0000,0.0000
MY,2016,0.0000,0.0000,0.0000,0.0000,0.0000
MY,2017,0.0000,47.1457,0.0000,757.5886,804.7343
MY,2018,0.0000,0.0000,0.0000,217.1099,217.1099
MY,2019,0.0000,0.0000,0.0000,362.5356,362.5356
MY,2020,0.0000,0.0000,0.0000,161.2489,161.2489
MY,2021,0.0000,0.0000,0.0000,463.9230,463.9230
MY,2022,0.0000,0.0000,0.0000,254.3329,254.3329
MY,2023,0.0000,0.0000,0.0000,648.8470,648.8470
MY,Sep-2024,0.0000,0.0000,0.0000,75.1950,75.1950
PH,2016,0.0000,0.0000,0.0000,0.0000,0.0000
PH,2017,0.0000,0.0000,0.0000,0.0000,0.0000
PH,2018,0.0000,0.0000,0.0000,0.0000,0.0000
PH,2019,0.0000,1268.5500,0.0000,287.1913,1555.7413
PH,2020,0.0000,300.0000,0.0000,59.0900,359.0900
PH,2021,0.0000,400.0000,0.0000,103.1289,503.1289
PH,2022,0.0000,0.0000,0.0000,225.4060,225.4060
PH,2023,0.0000,0.0000,0.0000,82.6826,82.6826
PH,Sep-2024,0.0000,0.0000,0.0000,428.9731,428.9731
SG,2016,0.0000,0.0000,0.0000,0.0000,0.0000
SG,2017,0.0000,1000.0000,0.0000,71.6435,1071.6435
SG,2018,0.0000,154.5536,0.0000,0.0000,154.5536
SG,2019,0.0000,341.7000,0.0000,0.0000,341.7000
SG,2020,0.0000,325.0000,0.0000,508.9114,833.9114
SG,2021,0.0000,1516.7500,0.0000,1981.5394,3498.2894
SG,2022,0.0000,340.1237,4681.9715,507.4350,5529.5303
SG,2023,0.0000,808.8098,2616.1811,962.4616,4387.4525
SG,Sep-2024,0.0000,116.3400,4925.9002,1094.0721,6136.3123
TH,2016,0.0000,0.0000,0.0000,446.1244,446.1244
TH,2017,0.0000,0.0000,0.0000,38.9205,38.9205
TH,2018,0.0000,0.0000,0.0000,237.2237,237.2237
TH,2019,0.0000,0.0000,0.0000,846.2653,846.2653
TH,2020,0.0000,0.0000,192.1537,1024.3559,1216.5096
TH,2021,0.0000,0.0000,0.0000,1030.7562,1030.7562
TH,2022,0.0000,0.0000,137.7031,1043.5395,1181.2426
TH,2023,0.0000,0.0000,100.5978,846.8552,947.4531
TH,Sep-2024,0.0000,0.0000,81.3670,140.2372,221.6042
VN,2016,0.0000,0.0000,0.0000,0.0000,0.0000
VN,2017,0.0000,0.0000,0.0000,0.0000,0.0000
VN,2018,0.0000,0.0000,0.0000,0.0000,0.0000
VN,2019,0.0000,0.0000,0.0000,0.0000,0.0000
VN,2020,0.0000,0.0000,0.0000,0.0000,0.0000
VN,2021,0.0000,200.0000,0.0000,0.0000,200.0000
VN,2022,0.0000,0.0000,0.0000,73.8505,73.8505
VN,2023,0.0000,0.0000,0.0000,101.7460,101.7460
VN,Sep-2024,0.0000,0.0000,0.0000,0.0000,0.0000
