,Country Name,iso,Year,EPI,EPI World average,EPI gap from World average,EPI ASEAN+3 average,EPI gap from ASEAN+3 average
0,Indonesia,IDN,2016,65.85,68.06548192771085,-2.2154819277108544,68.159,-2.3090000000000117
1,Indonesia,IDN,2018,46.92,56.78403614457831,-9.864036144578307,54.802,-7.881999999999998
2,Indonesia,IDN,2020,37.8,47.19638554216868,-9.39638554216868,47.1,-9.300000000000004
3,Indonesia,IDN,2022,28.2,43.137951807228916,-14.937951807228917,36.61,-8.41
4,Indonesia,IDN,2024,33.6,47.23132530120482,-13.631325301204818,39.95,-6.350000000000001
5,Japan,JPN,2016,80.59,68.06548192771085,12.524518072289155,68.159,12.430999999999997
6,Japan,JPN,2018,74.69,56.78403614457831,17.90596385542169,54.802,19.887999999999998
7,Japan,JPN,2020,75.1,47.19638554216868,27.903614457831317,47.1,27.999999999999993
8,Japan,JPN,2022,57.2,43.137951807228916,14.062048192771087,36.61,20.590000000000003
9,Japan,JPN,2024,61.4,47.23132530120482,14.16867469879518,39.95,21.449999999999996
10,Cambodia,KHM,2016,51.24,68.06548192771085,-16.825481927710847,68.159,-16.919000000000004
11,Cambodia,KHM,2018,43.23,56.78403614457831,-13.554036144578312,54.802,-11.572000000000003
12,Cambodia,KHM,2020,33.6,47.19638554216868,-13.596385542168676,47.1,-13.5
13,Cambodia,KHM,2022,30.1,43.137951807228916,-13.037951807228914,36.61,-6.509999999999998
14,Cambodia,KHM,2024,31.2,47.23132530120482,-16.03132530120482,39.95,-8.750000000000004
15,South Korea,KOR,2016,70.61,68.06548192771085,2.5445180722891507,68.159,2.4509999999999934
16,South Korea,KOR,2018,62.3,56.78403614457831,5.515963855421688,54.802,7.4979999999999976
17,South Korea,KOR,2020,66.5,47.19638554216868,19.303614457831323,47.1,19.4
18,South Korea,KOR,2022,46.9,43.137951807228916,3.7620481927710827,36.61,10.29
19,South Korea,KOR,2024,50.6,47.23132530120482,3.368674698795182,39.95,10.649999999999999
20,Laos,LAO,2016,50.29,68.06548192771085,-17.77548192771085,68.159,-17.869000000000007
21,Laos,LAO,2018,42.94,56.78403614457831,-13.844036144578311,54.802,-11.862000000000002
22,Laos,LAO,2020,34.8,47.19638554216868,-12.39638554216868,47.1,-12.300000000000004
23,Laos,LAO,2022,30.7,43.137951807228916,-12.437951807228917,36.61,-5.91
24,Laos,LAO,2024,26.3,47.23132530120482,-20.93132530120482,39.95,-13.650000000000002
