Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
China,CHN,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,13423.4243,13687.1477,14273.7674,14583.463,14856.9669,15610.3695,15662.1317,..
China,CHN,Total greenhouse gas emissions excluding LULUCF (% change from 1990),EN.GHG.TOT.ZG.AR5,231.700187597548,238.216937668084,252.712632670321,260.365381054214,267.12381265193,285.740804722759,287.019877116415,..
China,CHN,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,9.67251839255219,9.80303728293995,10.1754878952921,10.3594493320878,10.5286421231663,11.0526845138633,11.0907866942836,..
China,CHN,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,12272.5143,12536.2377,13122.8574,13432.553,13706.0569,..,..,..
"Hong Kong SAR, China",HKG,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,51.3564,50.4997,50.4902,50.0098,41.671,41.083,39.1401,..
"Hong Kong SAR, China",HKG,Total greenhouse gas emissions excluding LULUCF (% change from 1990),EN.GHG.TOT.ZG.AR5,28.4754726232498,26.3323134961237,26.3085478702247,25.1067576931833,4.24604177246539,2.77507461155708,-2.08537113151899,..
"Hong Kong SAR, China",HKG,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,7.00002726058392,6.8305605150679,6.77484367871615,6.6609571251615,5.57024461970325,5.54194601448787,5.32801078123086,..
"Hong Kong SAR, China",HKG,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,..,..,..,..,..,..,..,..
Japan,JPN,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,1321.5024,1306.4717,1265.5424,1226.4328,1161.3212,1174.9653,1182.3124,..
Japan,JPN,Total greenhouse gas emissions excluding LULUCF (% change from 1990),EN.GHG.TOT.ZG.AR5,0.0142206870506811,-1.12333589013062,-4.2209557225021,-7.18085663935422,-12.1086463517959,-11.0760307254632,-10.5199859685185,..
Japan,JPN,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,10.399307501023,10.2894472797152,9.97975254512621,9.68493836519707,9.19778237143695,9.34874608089985,9.44905098053595,..
Japan,JPN,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,1268.9558,1249.8387,1209.576,1175.1958,1109.0304,..,..,..
"Korea, Rep.",KOR,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,735.4229,745.4871,750.1996,731.274,699.5921,730.7838,725.6826,..
"Korea, Rep.",KOR,Total greenhouse gas emissions excluding LULUCF (% change from 1990),EN.GHG.TOT.ZG.AR5,122.647552391237,125.694465258345,127.121163543976,121.391482679353,111.799862007623,121.243075782883,119.698699486934,..
"Korea, Rep.",KOR,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,14.3587357700603,14.5143956968424,14.5429631968234,14.1268524018106,13.4961971295796,14.1160963399732,14.0438653243658,..
"Korea, Rep.",KOR,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,690.5732,700.6374,705.3499,686.4243,654.7424,..,..,..
Cambodia,KHM,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,40.0357,42.4885,43.6143,47.6018,48.5962,49.6891,50.0153,..
Cambodia,KHM,Total greenhouse gas emissions excluding LULUCF (% change from 1990),EN.GHG.TOT.ZG.AR5,97.5617940379671,109.665480708022,115.220899190225,134.897778918228,139.804785614535,145.197854418231,146.807534209397,..
Cambodia,KHM,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,2.56235302008681,2.6839324554983,2.72160076499332,2.93697840526375,2.96375037659649,2.99529996431978,2.98281078745852,..
Cambodia,KHM,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,80.4294,82.8822,84.008,87.9955,88.9899,..,..,..
Indonesia,IDN,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,956.6358,1019.7306,1109.5989,1161.7335,1104.6649,1128.0125,1240.7843,..
Indonesia,IDN,Total greenhouse gas emissions excluding LULUCF (% change from 1990),EN.GHG.TOT.ZG.AR5,123.699889510514,138.453989021203,159.468808642733,171.659972991459,158.315041185102,163.774648216676,190.145226444986,..
Indonesia,IDN,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,3.65337076603598,3.85533091085023,4.15476098618502,4.3093742029121,4.0633897913679,4.12054557566783,4.50373237568911,..
Indonesia,IDN,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,1464.2878,1508.2476,1833.1089,2086.5855,2029.5169,..,..,..
Lao PDR,LAO,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,30.8499,34.1859,34.8439,34.7025,35.4927,36.6198,36.8615,..
Lao PDR,LAO,Total greenhouse gas emissions excluding LULUCF (% change from 1990),EN.GHG.TOT.ZG.AR5,274.378360011165,314.862322973678,322.847469145541,321.131512202226,330.720968896764,344.398868973217,347.332014611119,..
Lao PDR,LAO,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,4.47660353982224,4.88515368215999,4.90413378961256,4.81173668579529,4.84912764012455,4.93192173474224,4.89562685313385,..
Lao PDR,LAO,Total greenhouse gas emissions including LULUCF (Mt CO2e),EN.GHG.ALL.LU.MT.CE.AR5,64.3299,67.6659,68.3239,68.1825,68.9727,..,..,..
Malaysia,MYS,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,318.3939,307.9345,326.3137,329.667,324.5195,334.6686,353.9151,..
Malaysia,MYS,Total greenhouse gas emissions excluding LULUCF (% change from 1990),EN.GHG.TOT.ZG.AR5,235.88866090314,224.854549194812,244.243629439348,247.78118291197,242.350843693791,253.057605376009,273.361641075413,..
