METADATA:
Indicator: Sustainability Bonds Issuance
Definition: This indicator shows the gross amount of sustainability bonds issuance in USD, categorized as government and corporates. FCY-denominated bonds refer to bonds issued in currencies other than the home economy's currency. Sustainability bonds are debt instruments whose proceeds will be used to support projects that have components of both environmental and socially related projects.
Available Economies: KH,CN,HK,ID,JP,KR,LA,MY,PH,SG,TH,VN
Available Years: 2016-2024
Frequency: quarterly/annual updates
Latest Data: Sep-2024

DISCLAIMER: The ADB provides no warranty or undertaking of any kind in respect to the information and materials found on, or linked to, AsianBondsOnline. The ADB accepts no responsibility for the accuracy of the material posted or linked to the publication, or the information contained therein, or for any consequences arising from its use and does not invite or accept reliance being placed on any materials or information so provided. Views expressed in articles marked with AsianBondsOnline are those of the authors, and not ADB. This disclaimer does not derogate from, and is in addition to, the general terms and conditions regarding the use of the AsianBondsOnline Web Site, which also apply.

Economy,Date,"Government FCY(USD millions)","Corporate FCY(USD millions)","Government LCY(USD millions)","Corporate LCY(USD millions)","Total(USD millions)"
CN,2016,0.0000,0.0000,0.0000,0.0000,0.0000
CN,2017,0.0000,0.0000,0.0000,0.0000,0.0000
CN,2018,566.4000,1382.3458,0.0000,0.0000,1948.7458
CN,2019,0.0000,0.0000,0.0000,0.0000,0.0000
CN,2020,0.0000,500.0000,0.0000,0.0000,500.0000
CN,2021,0.0000,6454.0000,0.0000,116.0940,6570.0940
CN,2022,0.0000,3860.0000,521.2620,0.0000,4381.2620
CN,2023,0.0000,2060.0000,411.7316,1367.8392,3839.5708
CN,Sep-2024,0.0000,5036.7000,139.3786,1812.5539,6988.6325
HK,2016,0.0000,0.0000,0.0000,0.0000,0.0000
HK,2017,0.0000,0.0000,0.0000,0.0000,0.0000
HK,2018,0.0000,0.0000,0.0000,0.0000,0.0000
HK,2019,0.0000,0.0000,0.0000,0.0000,0.0000
HK,2020,0.0000,0.0000,0.0000,0.0000,0.0000
HK,2021,0.0000,500.0000,0.0000,51.3776,551.3776
HK,2022,0.0000,344.1452,0.0000,0.0000,344.1452
HK,2023,0.0000,240.0000,0.0000,0.0000,240.0000
HK,Sep-2024,0.0000,497.5973,0.0000,0.0000,497.5973
ID,2016,0.0000,0.0000,0.0000,0.0000,0.0000
ID,2017,0.0000,0.0000,0.0000,0.0000,0.0000
ID,2018,0.0000,0.0000,0.0000,0.0000,0.0000
ID,2019,0.0000,500.0000,0.0000,0.0000,500.0000
ID,2020,0.0000,0.0000,0.0000,0.0000,0.0000
ID,2021,586.9500,450.0000,0.0000,0.0000,1036.9500
ID,2022,0.0000,0.0000,208.8720,0.0000,208.8720
ID,2023,0.0000,0.0000,476.5545,0.0000,476.5545
ID,Sep-2024,826.5000,0.0000,102.3037,79.2683,1008.0720
JP,2016,500.0000,0.0000,0.0000,0.0000,500.0000
JP,2017,1000.0000,0.0000,0.0000,0.0000,1000.0000
JP,2018,806.4000,0.0000,0.0000,0.0000,806.4000
JP,2019,1000.0000,0.0000,894.0848,457.8719,2351.9566
JP,2020,819.5600,567.0000,1007.6785,3184.9355,5579.1740
JP,2021,1229.5000,3750.0000,956.1700,3890.2424,9825.9124
JP,2022,2496.7600,0.0000,1051.7522,3109.6620,6658.1743
JP,2023,2386.5000,1500.0000,2128.9810,3932.4182,9947.8992
JP,Sep-2024,2260.7200,500.0000,1202.4407,839.5211,4802.6818
KH,2016,0.0000,0.0000,0.0000,0.0000,0.0000
KH,2017,0.0000,0.0000,0.0000,0.0000,0.0000
KH,2018,0.0000,0.0000,0.0000,0.0000,0.0000
KH,2019,0.0000,0.0000,0.0000,0.0000,0.0000
